parish,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52
St James Clerkenwel,8.0,9.0,7.0,9.0,15.0,12.0,5.0,6.0,5.0,10.0,8.0,5.0,10.0,3.0,11.0,12.0,10.0,6.0,13.0,4.0,4.0,3.0,9.0,2.0,13.0,17.0,13.0,34.0,65.0,89.0,143.0,103.0,148.0,155.0,172.0,142.0,137.0,94.0,77.0,76.0,48.0,43.0,25.0,15.0,13.0,12.0,12.0,8.0,9.0,5.0,3.0,5.0
St James Dukes place,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,7.0,9.0,7.0,9.0,8.0,22.0,29.0,24.0,27.0,30.0,21.0,10.0,9.0,4.0,3.0,1.0,2.0,1.0,2.0,0.0
St James Garlickhithe,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,6.0,7.0,12.0,13.0,14.0,16.0,12.0,19.0,9.0,7.0,10.0,12.0,5.0,3.0,1.0,6.0,1.0
St John Baptist,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,7.0,6.0,10.0,3.0,7.0,10.0,11.0,11.0,7.0,4.0,3.0,8.0,9.0,5.0,4.0,1.0,3.0,0.0
St John Evangelist,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St John Zachary,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,3.0,3.0,9.0,12.0,5.0,7.0,6.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
St Kath. near the Tower,4.0,1.0,6.0,3.0,2.0,1.0,2.0,3.0,6.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,6.0,5.0,5.0,4.0,5.0,2.0,3.0,9.0,4.0,6.0,1.0,5.0,6.0,11.0,10.0,16.0,24.0,40.0,87.0,117.0,97.0,93.0,78.0,55.0,63.0,38.0,6.0,21.0,13.0,14.0,9.0,7.0,9.0,5.0,7.0
St Katharine Coleman,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,9.0,17.0,26.0,44.0,36.0,20.0,34.0,28.0,10.0,6.0,6.0,7.0,8.0,1.0,0.0,1.0,4.0
St Katharine Crechurch,0.0,0.0,1.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,3.0,7.0,8.0,23.0,42.0,35.0,30.0,34.0,24.0,14.0,13.0,7.0,12.0,15.0,8.0,5.0,2.0,4.0,9.0
St Lawrence Jewry,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,2.0,12.0,6.0,3.0,8.0,7.0,6.0,4.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0
St Lawrence Pountney,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,6.0,6.0,18.0,20.0,17.0,22.0,17.0,14.0,17.0,18.0,9.0,5.0,11.0,5.0,3.0,1.0,1.0,1.0,2.0
St Leonard Eastcheap,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,3.0,3.0,5.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
St Leonard Fosterlane,0.0,1.0,3.0,2.0,1.0,2.0,4.0,0.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,11.0,13.0,17.0,34.0,35.0,23.0,34.0,30.0,16.0,36.0,6.0,7.0,4.0,5.0,6.0,3.0,2.0,3.0,1.0,1.0
St Leonard Shoreditch,9.0,5.0,8.0,5.0,12.0,12.0,10.0,14.0,10.0,13.0,7.0,10.0,10.0,0.0,6.0,8.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,0.0,21.0,10.0,5.0,21.0,21.0,64.0,84.0,110.0,183.0,207.0,252.0,280.0,300.0,235.0,183.0,146.0,95.0,76.0,50.0,28.0,14.0,28.0,19.0,10.0,6.0,6.0,8.0,6.0
St Magdalen Bermondsey,4.0,4.0,6.0,5.0,5.0,7.0,4.0,5.0,2.0,6.0,6.0,7.0,0.0,9.0,3.0,7.0,5.0,5.0,15.0,8.0,9.0,7.0,9.0,7.0,6.0,9.0,6.0,11.0,14.0,12.0,11.0,14.0,14.0,44.0,57.0,108.0,146.0,190.0,207.0,201.0,128.0,169.0,101.0,56.0,57.0,80.0,42.0,27.0,14.0,24.0,15.0,25.0
St Magnus Parish,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,3.0,8.0,2.0,4.0,8.0,9.0,7.0,3.0,5.0,5.0,6.0,5.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0
St Margaret Lothbury,0.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,3.0,2.0,1.0,10.0,7.0,8.0,6.0,7.0,6.0,3.0,4.0,3.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0
St Margaret Moses,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
St Margaret Newfishstreet,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,9.0,9.0,17.0,7.0,18.0,8.0,8.0,3.0,2.0,9.0,3.0,1.0,0.0,0.0,0.0,1.0
St Margaret Pattons,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,5.0,5.0,4.0,8.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
St Margaret Westminster,14.0,14.0,19.0,18.0,15.0,30.0,18.0,27.0,24.0,22.0,30.0,13.0,23.0,12.0,12.0,20.0,21.0,23.0,20.0,10.0,16.0,21.0,21.0,23.0,20.0,31.0,38.0,50.0,58.0,79.0,120.0,133.0,199.0,269.0,220.0,345.0,348.0,349.0,411.0,300.0,309.0,282.0,185.0,98.0,78.0,102.0,66.0,46.0,31.0,26.0,27.0,24.0
St Martin in the fields,17.0,17.0,24.0,24.0,34.0,24.0,30.0,33.0,23.0,28.0,35.0,30.0,24.0,22.0,23.0,16.0,21.0,29.0,26.0,25.0,26.0,22.0,37.0,22.0,34.0,47.0,46.0,114.0,153.0,171.0,270.0,226.0,304.0,301.0,255.0,387.0,303.0,277.0,286.0,219.0,209.0,167.0,81.0,60.0,48.0,61.0,50.0,38.0,25.0,24.0,24.0,12.0
St Martin Iremongerlane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
St Martin Ludgate,0.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,5.0,4.0,9.0,16.0,14.0,21.0,27.0,12.0,17.0,13.0,4.0,5.0,6.0,3.0,2.0,2.0,3.0,2.0,4.0
St Martin Orgars,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,8.0,10.0,16.0,12.0,9.0,8.0,8.0,5.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
St Martin Outwitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0,6.0,4.0,8.0,5.0,6.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
St Martin Vintrey,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,6.0,7.0,10.0,17.0,23.0,25.0,36.0,64.0,38.0,44.0,38.0,24.0,8.0,11.0,7.0,12.0,5.0,4.0,2.0,1.0,2.0
St Mary Abchurch,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,13.0,6.0,7.0,5.0,13.0,5.0,0.0,4.0,5.0,0.0,0.0,1.0,5.0,2.0
St Mary Aldermanbury,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,6.0,5.0,9.0,11.0,11.0,15.0,12.0,20.0,19.0,14.0,7.0,7.0,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,2.0
St Mary Aldermary,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,8.0,7.0,9.0,11.0,13.0,4.0,8.0,4.0,1.0,0.0,9.0,0.0,3.0,4.0,1.0,0.0,0.0
St Mary Bothaw,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,7.0,1.0,9.0,1.0,6.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0
St Mary Colechurch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
St Mary Hill,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,7.0,5.0,12.0,5.0,11.0,6.0,7.0,2.0,3.0,4.0,6.0,4.0,1.0,1.0,3.0,1.0
St Mary Islington,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,4.0,3.0,17.0,12.0,27.0,28.0,42.0,50.0,69.0,94.0,66.0,68.0,44.0,35.0,26.0,22.0,8.0,9.0,6.0,10.0,6.0,7.0,2.0,4.0,4.0
St Mary le Bow,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,6.0,6.0,9.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
St Mary Mounthaw,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,5.0,3.0,8.0,9.0,3.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
St Mary Newington,0.0,7.0,3.0,5.0,7.0,4.0,5.0,7.0,3.0,0.0,9.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,6.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,6.0,11.0,10.0,23.0,47.0,74.0,121.0,171.0,156.0,155.0,94.0,81.0,69.0,43.0,24.0,11.0,22.0,7.0,3.0,5.0,5.0,3.0,10.0
St Mary Savoy,0.0,2.0,3.0,4.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,3.0,5.0,3.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,4.0,2.0,2.0,7.0,8.0,4.0,12.0,11.0,8.0,15.0,11.0,25.0,24.0,19.0,20.0,20.0,19.0,15.0,3.0,3.0,3.0,8.0,3.0,6.0,3.0,0.0,1.0,6.0
St Mary Sommerset,0.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,3.0,4.0,12.0,6.0,22.0,14.0,19.0,36.0,30.0,44.0,30.0,22.0,11.0,7.0,15.0,9.0,5.0,5.0,3.0,2.0,3.0
St Mary Stayning,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,5.0,6.0,2.0,8.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
St Mary Whitechappel,8.0,17.0,13.0,20.0,7.0,11.0,13.0,11.0,9.0,16.0,17.0,15.0,11.0,8.0,12.0,15.0,9.0,9.0,11.0,2.0,12.0,14.0,19.0,15.0,23.0,14.0,26.0,18.0,16.0,42.0,84.0,104.0,177.0,285.0,319.0,496.0,586.0,428.0,532.0,346.0,328.0,227.0,124.0,60.0,37.0,57.0,46.0,35.0,11.0,17.0,18.0,16.0
St Mary Woolchurch,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,6.0,7.0,6.0,6.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0
St Mary Woolnoth,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,9.0,11.0,7.0,8.0,4.0,1.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
St Matthew Fridaystreet,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
St Maudlin Milkstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,5.0,1.0,5.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
St Maudlin Oldfishstreet,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,8.0,6.0,24.0,16.0,16.0,10.0,8.0,12.0,14.0,2.0,9.0,6.0,8.0,4.0,1.0,0.0,1.0,3.0
St Michael Bassishaw,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,4.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,3.0,2.0,8.0,5.0,13.0,24.0,8.0,11.0,11.0,12.0,19.0,19.0,13.0,17.0,18.0,10.0,11.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0
