0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,12,9,St George Botolphlane,1,,St Martin Ludgate,16,14
Alhallows Barking,31,23,St Gregory by St Pauls,22,20,St Martin Orgars,16,15
Alhallows Breadstreet,2,1,St Hellen,10,10,St Martin Outwitch,6,4
Alhallows Great,21,9,St James Dukes place,8,5,St Martin Vintrey,25,23
Alhallows Honylane,,,St James Garlickhithe,7,4,St Matthew Fridaystreet,,
Alhallows Lesse,17,16,St John Baptist,10,9,St Maudlin Milkstreet,5,3
Alhallows Lumbardstreet,7,6,St John Evangelist,,,St Maudlin Oldfishstreet,24,21
Alhallows Staining,14,11,St John Zachary,8,7,St Michael Bassishaw,19,11
Alhallows the Wall,46,40,St Katharine Coleman,17,10,St Michael Cornhil,11,7
St Alphage,40,22,St Katharine Crechurch,23,19,St Michael Crookedlane,5,5
St Andrew Hubbard,6,3,St Lawrence Jewry,6,4,St Michael Queenhithe,17,12
St Andrew Undershaft,30,24,St Lawrence Pountney,20,14,St Michael Quern,1,1
St Andrew Wardrobe,48,37,St Leonard Eastcheap,2,,St Michael Royal,4,4
St Ann Aldersgate,30,24,St Leonard Fosterlane,35,33,St Michael Woodstreet,10,8
St Ann Blackfryers,47,30,St Magnus Parish,8,6,St Mildred Breadstreet,3,2
St Antholins Parish,10,9,St Margaret Lothbury,10,8,St Mildred Poultrey,1,1
St Austins Parish,1,1,St Margaret Moses,3,3,St Nicholas Acons,,
St Bartholomew Exchange,2,2,St Margaret Newfishstreet,9,3,St Nicholas Coleabby,8,8
St Bennet Fynck,5,2,St Margaret Pattons,,,St Nicholas Olaves,8,7
St Bennet Gracechurch,1,1,St Mary Abchurch,5,2,St Olave Hartstreet,12,10
St Bennet Paulswharf,30,21,St Mary Aldermanbury,15,15,St Olave Jewry,5,4
St Bennet Sherehog,,,St Mary Aldermary,7,7,St Olave Silverstreet,23,18
St Botolph Billingsgate,3,1,St Mary le Bow,9,8,St Pancras Soperlane,4,1
Christs Church,68,61,St Mary Bothaw,7,4,St Peter Cheap,6,3
St Christophers,8,7,St Mary Colechurch,,,St Peter Cornhil,4,2
St Clement Eastcheap,3,1,St Mary Hill,7,5,St Peter Paulswharf,8,7
St Dionis Backchurch,1,1,St Mary Mounthaw,3,2,St Peter Poor,2,2
St Dunstan East,11,6,St Mary Sommerset,14,12,St Steven Colemanstreat,47,38
St Edmund Lumbardstr.,1,,St Mary Stayning,5,5,St Steven Walbrook,2,1
St Ethelborough,13,9,St Mary Woolchurch,1,,St Swithin,4,2
St Faith,7,4,St Mary Woolnoth,3,2,St Thomas Apostle,11,7
St Foster,14,12,St Martin Iremongerlane,,,Trinity Parish,3,3
St Gabriel Fenchurch,4,4,,,,,,
Christned in the 97 Parishes within the Walls 34 Buried 1118 Plague 864,,,,,,,,
St Andrew Holborn,356,345,St Botolph Aldgate,443,439,Saviours Southwark,374,339
St Bartholomew Great,48,42,St Botolph Bishopgate,368,299,S. Sepulchres Parish,344,264
St Bartholomew Lesse,23,21,St Dunstan West,86,74,St Thomas Southwark,40,33
St Bridget,219,189,St George Southwark,162,150,Trinity Minories,23,19
Bridewel Precinct,18,17,St Giles Cripplegate,690,567,At the Pesthouse,10,10
St Botolph Aldersgate,93,79,St Olave Southwark,439,264,,,
"â€¢hristned in the 16 Parishes without the Walls 64 Buried, and at the Pesthouse 3736 Plague 3151",,,,,,,,
St Giles in the fields,202,178,Lambeth Parish,31,21,St Mary â€¢slington,94,94
Fackney Parish,13,10,St Leonard Shoreditch,300,276,St Mary Whitechappel,586,540
St James Clerkenwel,137,119,St Magdalen Bermondsey,146,116,Rothorith Parish,11,8
St Kath. near the Tower,117,87,St Mary Newington,171,146,Stepney Parish,741,666
Christned in the 12 out Parishes in Middlesex and Surry 49 Buried 2549 Plague 2261,,,,,,,,
St Clement Danes,142,114,St Martin in the fields,303,230,St Margaret Westminster,348,321
St Paul Covent Garden,32,16,St Mary Savoy,24,21,Whereof at the Pesthouse,,12
Christned in the 5 Parishes in the City and Liberties of Westminster 20 Buried 849 Plague 712,,,,,,,,
