0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,1,,St George Botolphlane,,,St Martin Ludgate,,
Alhallows Barking,2,,St Gregory by St Pauls,,,St Martin Orgars,,
Alhallows Breadstreet,,,St Hellen,,,St Martin Outwitch,,
Alhallows Great,3,,St James Dukes place,1,,St Martin Vintrey,1,
Alhallows Honylane,,,St James Garlickhithe,,,St Matthew Fridaystreet,,
Alhallows Lesse,,,St John Baptist,,,St Maudlin Milkstreet,1,
Alhallows Lumbardstreet,,,St John Evangelist,,,St Maudlin Oldfishstreet,,
Alhallows Stayning,,,St John Zachary,1,,St Michael Bassishaw,2,1
Alhallows the Wall,1,,St Katharine Coleman,,,St Michael Cornhil,,
St Alphage,,,St Katharine Crechurch,1,,St Michael Crookedlane,2,1
St Andrew Hubbard,1,,St Lawrence Jewry,,,St Michael Queenhithe,,
St Andrew Undershaft,2,,St Lawrence Pountney,1,,St Michael Quern,,
St Andrew Wardrobe,2,,St Leonard Eastcheap,,,St Michael Royal,,
St Ann Aldersgate,,,St Leonard Fosterlane,,,St Michael Woodstreet,,
St Ann Blackfryers,2,,St Magnus Parish,,,St Mildred Breadstreet,,
St Antholins Parish,,,St Margaret Lothbury,1,,St Mildred Poultrey,,
St Austins Parish,1,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exchange,1,,St Margaret Newfishstre.,,,St Nicholas Coleabby,,
St Bennet Fynck,1,,St Margaret Pattons,,,St Nicholas Olaves,1,
St Bennet Gracechurch,,,St Mary Abchurch,1,,St Olave Hartstreet,1,
St Bennet Paulswharf,1,,St Mary Aldermanbury,,,St Olave Jewry,1,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olave Silverstreet,,
St Botolph Billingsgate,,,St Mary le Bow,,,St Pancras Soperlane,,
Christ Church,3,,St Mary Bothaw,,,St Peter Cheap,3,2
St Christophers,,,St Mary Colechurch,,,St Peter Cornhil,1,
St Clement Eastcheap,,,St Mary Hill,,,St Peter Paulswharf,,
St Dionis Backchurch,,,St Mary Mounthaw,,,St Peter Poor,,
St Dunstan East,1,,St Mary Sommerset,3,,St Steven Colemanstreet,2,
St Edmund Lumbardstr.,,,St Mary Stayning,,,St Steven Walbrook,1,
St Ethelborough,,,St Mary Woolchurch,,,St Swithin,1,
St Faith,,,St Mary Woolnoth,,,St Thomas Apostles,1,
St Foster,,,St Martin Iremongerlane,,,Trinity Parish,,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 49 Plague 4,,,,,,,,
St Andrew Holborn,37,15,St Botolph Aldgate,14,,Saviours Southwark,16,
St Bartholomew Great,1,1,St Botolph Bishopsgate,11,3,S Sepulchres Parish,45,18
St Bartholomew Lesse,1,,St Dunstan West,5,,St Thomas Southwark,4,1
St Bridget,16,3,St George Southwark,7,1,Trinity Minories,,
Briâ€¢ewel Precinct,,,St Giles Cripplegate,42,7,At the Pesthouse,3,3
St Botolph Aldersgate,4,3,St Olave Southwark,19,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 225 Plague 55",,,,,,,,
St Gileâ€¢ in the fields,185,143,Lambeth Parish,4,,St Mary Islington,3,1
Hackney Parish,2,,St Leonard Shoreditch,5,,St Mary Whitechappel,26,
St James Clerkenwel,13,8,St Magdalen Bermondsey,6,,Rothorith Parish,1,
St Kath. near the Tower,6,,St Mary Newington,3,,Stepney Parish,37,1
Buried in the 12 out Parishes in Middlesex and Surrey 291 Plague 153,,,,,,,,
St Clement Danes,28,16,St Martin in the fields,46,11,St Margaret Westminster,38,26
St Paul Covent Garden,5,2,St Mary Savoy,2,,Whereof at the Pesthouse,4,
Buried in the 5 Parishes in the City and Liberties of Westminster 119 Plague 55,,,,,,,,
