0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,4,2,St George Botolphlane,,,St Martin Ludgate,1,
Alhallows Barking,1,,St Gregory by St Pauls,,,St Martin Orgars,,
Alhallows Breadstreet,,,St Hellen,2,,St Martin Outwitch,,
Alhallows Great,4,,St James Dukes place,1,,St Martin Vintrey,1,
Alhallows Honylane,,,St James Garlickhithe,,,St Matthew Fridaystreet,1,
Alhallows Lesse,3,,St John Baptist,,,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,,,St John Evangelist,,,St Maudlin Oldfishstreet,,
Alhallows Staining,,,St John Zachary,1,,St Michael Bassishaw,3,
Alhallows the Wall,,,St Katharine Coleman,2,,St Michael Cornhil,,
St Alphage,1,,St Katharine Crechurch,1,,St Michael Crookedlane,2,2
St Andrew Hubbard,1,,St Lawrence Jewry,1,,St Michael Queenhithe,,
St Andrew Undershaft,,,St Lawrence Pountney,,,St Michael Quern,,
St Andrew Wardrobe,1,,St Leonard Eastcheap,,,St Michael Royal,,
St Ann Aldersgate,,,St Leonard Fosterlane,,,St Michael Woodstreet,,
St Ann Blackfryers,1,,St Magnus Parish,1,,St Mildred Breadstreet,1,
St Antholins Parish,1,,St Margaret Lothbury,,,St Mildred Poultrey,1,
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exchange,,,St Margaret Newfishstreet,,,St Nicholas Coleabby,,
St Bennet Fynck,1,1,St Margaret Pattons,1,,St Nicholas Olaves,,
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olave Hartstreet,,
St Bennet Paulswharf,6,4,St Mary Aldermanbury,,,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olave Silverstreet,1,1
St Botolph Billingsgate,2,,St Mary le Bow,,,St Pancras Soperlane,,
Christs Church,2,,St Mary Bothaw,,,St Peter Cheap,1,
St Christophers,,,St Mary Colechurch,,,St Peter Cornhil,,
St Clement Eastcheap,,,St Mary Hill,2,,St Peter Paulswharf,,
St Dionis Backchurch,,,St Mary Mounthaw,,,St Peter Poor,,
St Dunstan East,3,,St Mary Sommerset,,,St Steven Colemanstreet,3,
St Edmund Lumbardstr.,2,,St Mary Stayning,,,St Steven Walbrook,,
St Ethelborough,1,,St Mary Woolchurch,,,St Swithin,,
St Faith,,,St Mary Woolnoth,2,,St Thomas Apostle,,
St Foster,1,,St Martin Iremongerlane,,,Trinity Parish,,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 64 Plague 10,,,,,,,,
St Andrew Holborn,24,10,St Botolph Aldgate,10,,Saviours Southwark,16,
St Bartholomew Great,4,,St Botolph Bishopsgate,21,2,S. Sepulchres Parish,32,11
St Bartholomew Lesse,,,St Dunstan West,9,,St Thomas Southwark,3,
St Bridget,7,2,St George Southwark,4,,Trinity Minories,,
Bridewel Precinct,1,1,St Giles Cripplegate,36,3,At the Pesthouse,4,4
St Botolph Aldersgate,3,,St Olave Southwark,18,1,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 192 Plague 34",,,,,,,,
St Giles in the fields,150,101,Lambeth Parish,4,,St Mary Islington,3,1
Hackney Parish,2,,St Leonard Shoreditch,10,,St Mary Whitechappel,14,
St James Clerkenwel,17,3,St Magdalen Bermondsey,9,,Rothorith Parish,6,
St Kath. near the Tower,4,,St Mary Newington,1,,Stepney Parish,38,
Buried in the 12 out Parishes in Middlesex and Surry 258 Plague 105,,,,,,,,
St Clement Danes,19,7,St Martin in the fields,47,4,St Margaret Westminster,31,7
St Paul Covent Garden,2,,St Mary Savoy,2,1,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 101 Plague 19,,,,,,,,
