0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur,Plaâ€¢.
St ALban Woodstreet,1,,St George Botolphlane,,,St Martin Ludgate,2,2
Alhallows Barking,1,,St Gregory by St Pauls,1,1,St Martin Orgars,,
Alhallows Breadstreet,,,St Hellen,,,St Martin Outwitch,,
Alhallows Great,,,St James Dukes place,2,1,St Martin Vintrey,1,
Alhallows Honylane,,,St James Garlickhithe,6,2,St Matthew Fridaystreet,,
Alhallows Lesse,,,St John Baptist,3,3,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,2,2,St John Evangelist,,,St Maudlin Oldfishstreet,1,1
Alhallows Stayning,,,St John Zachary,,,St Michael Bassishaw,,
Alhallows the Wall,4,1,St Katharine Coleman,1,,St Michael Cornhil,,
St Alphage,1,1,St Katharine Crechurch,4,3,St Michael Crookedlane,3,2
St Andrew Hubbard,3,2,St Lawrence Jewry,,,St Michael Queenhithe,1,
St Andrew Undershaft,,,St Lawrence Pountney,1,,St Michael Quern,1,
St Andrew Wardrobe,1,,St Leonard Eastcheap,,,St Michael Royal,,
St Ann Aldersgate,2,1,St Leonard Fosterlane,1,1,St Michael Woodstreet,,
St Ann Blackfryers,2,2,St Magnus Parish,,,St Mildred Breadstreet,,
St Antholins Parish,,,St Margaret Lothbury,2,2,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exchange,,,St Margaret Newfishstre.,,,St Nicholas Coleabby,,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,2,2,St Mary Abchurch,5,5,St Olave Hartstreet,8,6
St Bennet Paulswharf,2,1,St Mary Aldermanbury,,,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olave Silverstreet,,
St Botolph Billingsgate,1,1,St Mary le Bow,1,1,St Pancras Soperlane,,
Christ Church,3,1,St Mary Bothaw,1,,St Peter Cheap,,
St Christophers,1,1,St Mary Colechurch,,,St Peter Cornhil,3,
St Clement Eastcheap,,,St Mary Hill,3,3,St Peter Paulswharf,2,
St Dionis Backchurch,,,St Mary Mounthaw,1,1,St Peter Poor,,
St Dunstan East,3,1,St Mary Sommerset,2,2,St Steven Colemanstreet,2,2
St Edmund Lumbardstr.,,,St Mary Stayning,,,St Steven Walbrook,,
St Ethelborough,,,St Mary Woolchurch,3,1,St Swithin,1,1
St Faith,1,1,St Mary Woolnoth,,,St Thomas Apostles,1,
St Foster,,,St Martin Iremongerlane,,,Trinity Parish,1,
St Gabriel Fenchurch,,,,,,,,
Christned in the 97 Parishes within the Walls 31 Buried 94 Plague 57,,,,,,,,
St Andrew Holborn,13,7,St Botolph Aldgate,18,16,Saviours Southwark,23,13
St Bartholomew Great,,,St Botolph Bishopsgate,13,3,S Sepulchres Parish,8,
St Bartholomew Lesse,,,St Dunstan West,3,2,St Thomas Southwark,3,2
St Bridget,7,4,St George Southwark,2,,Trinity Minories,,
Bridewel Precinct,,,St Giles Cripplegate,11,3,At the Pesthouse,,
St Botolph Aldersgate,7,4,St Olave Southwark,24,16,,,
"Christned in the 16 Parishes without the Walls 51 Buried, and at the Pesthouse 132 Plague 70",,,,,,,,
St Giles in the fields,11,5,Lambeth Parish,11,6,St Mary Islington,4,1
Hackney Parish,3,,St Leonard Shoreditch,8,2,St Mary Whitechappel,18,7
St James Clerkenwel,3,,St Magdalen Bermondsey,15,7,Rothorith Parish,5,4
St Kath. near the Tower,5,2,St Mary Newington,3,2,Stepney Parish,61,38
Christned in the 12 out Parishes in Middlesex and Surrey 38 Buried 147 Plague 74,,,,,,,,
St Clement Danes,14,10,St Martin in the fields,24,15,St Margaret Westminster,27,15
St Paul Covent Garden,3,1,St Mary Savoy,1,1,Whereof at the Pesthouse,,
Christned in the 5 Parishes in the City and Liberties of Westminster 13 Buried 69 Plague 42,,,,,,,,
