0,1
[illustration] [blazon or coat of arms],
ABortive,2.0
Aged,38.0
Apoplexie,1.0
Bedridden,1.0
Burnt by a fall into the fire at St. Giles in the Fields,1.0
Childbed,2.0
Chrisoms,12.0
Consumption,95.0
Convulsion,28.0
Cough,1.0
Dropsie,36.0
Drowned in a Tub of water at St. Martins in the Fields,1.0
Executed,2.0
Feaver,29.0
Flox and Small-pox,15.0
Flux,2.0
French-pox,2.0
Found dead (an Infant) at St. Andrew Halborn,1.0
Gowt,1.0
Griping in the Guts,11.0
Hanged her self at St. Saviours Southwark,1.0
Head-mould-shot,1.0
Infants,14.0
Kild by the fall of a Scaffold at St. Bartholomew the Great,1.0
Lethargy,1.0
Rickets,16.0
Rising of the Lights,4.0
Scurvy,2.0
Spotted Feaver,3.0
Stilborn,10.0
Stone,1.0
Stopping of the Stomach,8.0
Surfeit,9.0
Teeth,20.0
Thrush,4.0
Tissick,15.0
Winde,3.0
Wormes,2.0
