0,1
[illustration] [blazon or coat of arms],
ABortive,6.0
Aged,39.0
Ague,2.0
Apoplexie,1.0
Bruised,1.0
Cancer,1.0
Childbed,8.0
Chrisomes,8.0
Consumption,80.0
Convulsion,31.0
Cough,1.0
Distracted,1.0
Dropsie,27.0
Feaver,33.0
Flox and Small-pox,17.0
Flux,2.0
French-pox,2.0
Goâ€¢t,2.0
Grief,1.0
Griping in the Guts,15.0
Jaundies,2.0
Imposthume,2.0
Infants,19.0
Kild with a Cart at St. Bridgets,1.0
Kingsevil,1.0
Meagrome,1.0
Plurisie,1.0
Rickets,11.0
Rising of the Lights,9.0
Scurvy,2.0
Sore legge,1.0
Spotted Feaver,1.0
Stilborn,11.0
Stopping of the stomach,14.0
Suddenly,4.0
Surfeit,3.0
Teeth,27.0
Thrush,3.0
Tissick,15.0
Ulcer,2.0
Winde,5.0
Wormes,2.0
