0,1
[illustration] [blazon or coat of arms],
ABortive,4.0
Aged,21.0
Childbed,7.0
Chrisomes,12.0
Consumption,57.0
Convulsion,26.0
Dropsie,24.0
"Drowned 2, one at St. Magdaâˆ£len Bermondsey, and one at St. Clement Danes",2.0
Feaver,33.0
Flox and Small-pox,38.0
Flux,1.0
French-pox,3.0
Gangrene,1.0
Griping in the Guts,17.0
Imposthume,1.0
Infants,13.0
"Killed 2, one at St. Giles in the Fields, and one by a fall from a Mast at St. Mary VVhiteâˆ£chapel",2.0
Kingsevil,1.0
Measles,1.0
Overlaid,1.0
Palsie,1.0
Rickets,9.0
Rising of the Lights,7.0
Rupture,1.0
Scowring,2.0
Spotted Feaver,5.0
Stilborn,8.0
Stone,3.0
Stopping of the stomach,5.0
Suddenly,3.0
Surfeit,5.0
Teeth,23.0
Thrush,1.0
Timpany,2.0
Tissick,5.0
Ulcer,1.0
Winde,3.0
