0,1
[illustration] [blazon or coat of arms],
ABortive,4.0
Aged,23.0
Childbed,13.0
Chrisoms,8.0
Consumption,80.0
Convulsion,29.0
Cough,2.0
Dropsie,27.0
Feaver,30.0
Flox and Small-pox,20.0
Gowt,1.0
Griping in the Guts,18.0
Jaundies,2.0
Imposthume,4.0
Infants,12.0
Killed with a fall off a Horse at St. Martin in the Fields,1.0
Overlaid,1.0
Plague,17.0
Plurisie,2.0
Quinsie,1.0
Rickets,14.0
Rising of the Lights,4.0
Scowring,2.0
Scurvy,1.0
Spotted Feaver,23.0
Stilborn,9.0
Stone,1.0
Stopping of the Stomach,5.0
Suddenly,2.0
Surfeit,13.0
Teeth,19.0
Timpany,1.0
Tissick,2.0
Vomiting,2.0
Winde,2.0
Wormes,4.0
